agency_id,agency_name,agency_url,agency_timezone
"omp-63","Brandner Unterallgäu KG","http://www.nvbw.de","Europe/Berlin"
"omp-72","Stadtbus Kempten","http://www.nvbw.de","Europe/Berlin"
"omp-79","Komm mit","http://www.nvbw.de","Europe/Berlin"
"omp-93","RBA Kempten","http://www.nvbw.de","Europe/Berlin"
"omp-94","RBA Lindau","http://www.nvbw.de","Europe/Berlin"
"bod-16","Bürgerbus Ostrach","https://www.bodo.de","Europe/Berlin"
"bod-37","BürgerBus Aulendorf","https://www.bodo.de","Europe/Berlin"
"bod-38","Stadt Markdorf","https://www.bodo.de","Europe/Berlin"
"Default","NVBW","http://www.nvbw.de","Europe/Berlin"
"bod-13","Omnibus Verkehr Wangen","https://www.bodo.de","Europe/Berlin"
"bod-05","Bühler","https://www.bodo.de","Europe/Berlin"
"bod-01","Regionalverkehr Alb-Bodensee GmbH","https://www.bodo.de","Europe/Berlin"
"bod-23","Ehrmann Reisen GmbH & Co. KG","https://www.bodo.de","Europe/Berlin"
"bod-25","Omnibus Grabherr","https://www.bodo.de","Europe/Berlin"
"bod-15","VBS","https://www.bodo.de","Europe/Berlin"
"bod-24","Hutter Reisen","https://www.bodo.de","Europe/Berlin"
"bod-26","Omnibus Müller","https://www.bodo.de","Europe/Berlin"
"bod-27","Stadt Isny","https://www.bodo.de","Europe/Berlin"
"bod-09","Reisch","https://www.bodo.de","Europe/Berlin"
"bod-10","Schuler","https://www.bodo.de","Europe/Berlin"
"bod-36","SWÜ","https://www.bodo.de","Europe/Berlin"
"bod-40","Sohler Reisen","https://www.bodo.de","Europe/Berlin"
"bod-08","RBA","https://www.bodo.de","Europe/Berlin"
"bod-11","SV FN","https://www.bodo.de","Europe/Berlin"
"bod-14","Strauss Reisen","https://www.bodo.de","Europe/Berlin"
"bod-12","BOB","https://www.bodo.de","Europe/Berlin"
"bod-47","Bürgermobil Meckenbeuren","https://www.bodo.de","Europe/Berlin"
"bod-35","Stadtverkehr Lindau","https://www.bodo.de","Europe/Berlin"
"bod-41","Regionale öffentliche Bahn der Stadt Pfullendorf","https://www.bodo.de","Europe/Berlin"
"bod-04","Burkhard Reisebüro e.K.","https://www.bodo.de","Europe/Berlin"
"tub-31","Frankenhauser","https://www.naldo.de","Europe/Berlin"
"tub-44","Reisch GmbH","https://www.naldo.de","Europe/Berlin"
"rab-RAB","rab","https://meine-rab.de","Europe/Berlin"
"vhb-SW-KN","SWK_B","https://www.vhb-info.de","Europe/Berlin"
"din-83","Süddeutsche Verkehrslinien","https://www.ding.eu","Europe/Berlin"
"din-81","Diesch GmbH","https://www.ding.eu","Europe/Berlin"
"din-51","Bayer","https://www.ding.eu","Europe/Berlin"
"nvb-05","Stadtwerke Konstanz","http://www.nvbw.de","Europe/Berlin"
"sbb-195","Schweizerische Bodensee-Schifffahrt AG","http://www.nvbw.de","Europe/Berlin"
"sbb-360","Bodensee-Schiffsbetriebe GmbH","http://www.nvbw.de","Europe/Berlin"
"vvv-46","Landbus Bregenzerwald","http://www.nvbw.de","Europe/Berlin"
"vvv-33","Landbus Unterland","http://www.nvbw.de","Europe/Berlin"
"obb-01","OEBB Personenverkehr AG Kundenservice","http://www.nvbw.de","Europe/Berlin"
"ddb-810019","ÖBB-Postbus","http://www.nvbw.de","Europe/Berlin"
"ddb-GY","Arverio Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-F7","Bodensee-Oberschwaben-Bahn","http://www.nvbw.de","Europe/Berlin"
"ddb-800654","DB Regio AG Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"ddb-8007D5","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-8007D4","DB Regio AG Bayern","http://www.nvbw.de","Europe/Berlin"
"ddb-00","DB AG","http://www.nvbw.de","Europe/Berlin"
"ddb-800622","DB Regio AG Baden-Württemberg","http://www.nvbw.de","Europe/Berlin"
"bus-8533","FlixBus-de","https://www.flixbus.de/","Europe/Berlin"
