service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Special","0","0","0","0","0","0","0","20260112","20261211"
"Special#2","0","0","0","0","0","0","0","20260117","20261212"
"Special#3","0","0","0","0","0","0","0","20260112","20261211"
"Special#4","0","0","0","0","0","0","0","20260111","20261206"
"Special#5","0","0","0","0","0","0","0","20260216","20261118"
"Special#6","0","0","0","0","0","0","0","20260112","20261210"
"Special#7","0","0","0","0","0","0","0","20260116","20261211"
"Special#8","0","0","0","0","0","0","0","20260111","20261212"
"Special#9","0","0","0","0","0","0","0","20260116","20261212"
"Special#10","0","0","0","0","0","0","0","20260116","20261211"
"Special#11","0","0","0","0","0","0","0","20260111","20261212"
"Special#12","0","0","0","0","0","0","0","20260111","20261210"
"Special#13","0","0","0","0","0","0","0","20260112","20261212"
"Special#14","0","0","0","0","0","0","0","20260309","20261211"
"Special#15","0","0","0","0","0","0","0","20260314","20261212"
"Special#16","0","0","0","0","0","0","0","20260330","20261118"
"Special#17","0","0","0","0","0","0","0","20260309","20261210"
"Special#18","0","0","0","0","0","0","0","20260404","20261107"
"Special#19","0","0","0","0","0","0","0","20260314","20261212"
"Special#20","0","0","0","0","0","0","0","20260515","20261030"
"Special#21","0","0","0","0","0","0","0","20260216","20260911"
"Special#22","0","0","0","0","0","0","0","20260112","20261211"
"Special#23","0","0","0","0","0","0","0","20260111","20261212"
"Special#24","0","0","0","0","0","0","0","20260112","20261211"
"Special#25","0","0","0","0","0","0","0","20260112","20261210"
"Special#26","0","0","0","0","0","0","0","20260113","20261208"
"Special#27","0","0","0","0","0","0","0","20260112","20261210"
"Special#28","0","0","0","0","0","0","0","20260115","20261210"
"Special#29","0","0","0","0","0","0","0","20260114","20261209"
"Special#30","0","0","0","0","0","0","0","20260504","20261211"
"Special#31","0","0","0","0","0","0","0","20260112","20260529"
"Special#32","0","0","0","0","0","0","0","20260117","20260530"
"Special#33","0","0","0","0","0","0","0","20260114","20260527"
"Special#34","0","0","0","0","0","0","0","20260112","20260521"
"Special#35","0","0","0","0","0","0","0","20260112","20261212"
"Special#36","0","0","0","0","0","0","0","20260117","20261212"
"Special#37","0","0","0","0","0","0","0","20260112","20261211"
"Special#38","0","0","0","0","0","0","0","20260216","20261030"
"Special#39","0","0","0","0","0","0","0","20260116","20261211"
"Special#40","0","0","0","0","0","0","0","20260112","20261210"
"Special#41","0","0","0","0","0","0","0","20260112","20261210"
"Special#42","0","0","0","0","0","0","0","20260114","20261211"
"Special#43","0","0","0","0","0","0","0","20260112","20260506"
"Special#44","0","0","0","0","0","0","0","20260507","20261211"
"Special#45","0","0","0","0","0","0","0","20260112","20261207"
"Special#46","0","0","0","0","0","0","0","20260112","20261211"
"Special#47","0","0","0","0","0","0","0","20260420","20261211"
"Special#48","0","0","0","0","0","0","0","20260420","20261211"
"Special#49","0","0","0","0","0","0","0","20260526","20261030"
"Special#50","0","0","0","0","0","0","0","20260420","20261210"
"Special#51","0","0","0","0","0","0","0","20260422","20261211"
"Special#52","0","0","0","0","0","0","0","20260420","20261211"
"Special#53","0","0","0","0","0","0","0","20260420","20261210"
"Special#54","0","0","0","0","0","0","0","20260423","20261210"
"Special#55","0","0","0","0","0","0","0","20260526","20261030"
"Special#56","0","0","0","0","0","0","0","20260424","20261211"
"Special#57","0","0","0","0","0","0","0","20260117","20261212"
"Special#58","0","0","0","0","0","0","0","20260111","20261206"
"Special#59","0","0","0","0","0","0","0","20260116","20261212"
"Special#60","0","0","0","0","0","0","0","20260316","20260630"
"Special#61","0","0","0","0","0","0","0","20260321","20260627"
"Special#62","0","0","0","0","0","0","0","20260330","20260410"
"Special#63","0","0","0","0","0","0","0","20260322","20260628"
"Special#64","0","0","0","0","0","0","0","20260316","20260630"
"Special#65","0","0","0","0","0","0","0","20260322","20260628"
"Special#66","0","0","0","0","0","0","0","20260316","20260630"
"Special#67","0","0","0","0","0","0","0","20260515","20260608"
"Special#68","0","0","0","0","0","0","0","20260516","20260606"
"Special#69","0","0","0","0","0","0","0","20260515","20260605"
"Special#70","0","0","0","0","0","0","0","20260514","20260607"
"Special#71","0","0","0","0","0","0","0","20260518","20260608"
"Special#72","0","0","0","0","0","0","0","20260117","20261212"
"Special#73","0","0","0","0","0","0","0","20260112","20261211"
"Special#74","0","0","0","0","0","0","0","20260404","20261031"
"Special#75","0","0","0","0","0","0","0","20260401","20261030"
"Special#76","0","0","0","0","0","0","0","20260113","20261208"
"Special#77","0","0","0","0","0","0","0","20260112","20261211"
"Special#78","0","0","0","0","0","0","0","20260112","20261210"
"Special#79","0","0","0","0","0","0","0","20260330","20261211"
"Special#80","0","0","0","0","0","0","0","20260328","20261212"
"Special#81","0","0","0","0","0","0","0","20260328","20261212"
"Special#82","0","0","0","0","0","0","0","20260413","20261211"
"Special#83","0","0","0","0","0","0","0","20260328","20261212"
"Special#84","0","0","0","0","0","0","0","20260113","20261211"
"Special#85","0","0","0","0","0","0","0","20260113","20261210"
"Special#86","0","0","0","0","0","0","0","20260113","20261208"
"Special#87","0","0","0","0","0","0","0","20260413","20261210"
"Special#88","0","0","0","0","0","0","0","20260414","20261208"
"Special#89","0","0","0","0","0","0","0","20260413","20261210"
"Special#90","0","0","0","0","0","0","0","20260328","20261212"
"Special#91","0","0","0","0","0","0","0","20260328","20261212"
"Special#92","0","0","0","0","0","0","0","20260328","20261212"
"Special#93","0","0","0","0","0","0","0","20260330","20261030"
"Special#94","0","0","0","0","0","0","0","20260116","20261211"
"Special#95","0","0","0","0","0","0","0","20260112","20261209"
"Special#96","0","0","0","0","0","0","0","20260113","20261211"
"Special#97","0","0","0","0","0","0","0","20260112","20261211"
"Special#98","0","0","0","0","0","0","0","20260112","20261211"
"Special#99","0","0","0","0","0","0","0","20260116","20261211"
"Special#100","0","0","0","0","0","0","0","20260112","20261210"
"Special#101","0","0","0","0","0","0","0","20260112","20261210"
"Special#102","0","0","0","0","0","0","0","20260116","20261211"
"Special#103","0","0","0","0","0","0","0","20260213","20261030"
"Special#104","0","0","0","0","0","0","0","20260112","20261208"
"Special#105","0","0","0","0","0","0","0","20260112","20261210"
"Special#106","0","0","0","0","0","0","0","20260213","20261030"
"Special#107","0","0","0","0","0","0","0","20260213","20261030"
"Special#108","0","0","0","0","0","0","0","20260112","20261209"
"Special#109","0","0","0","0","0","0","0","20260115","20261211"
"Special#110","0","0","0","0","0","0","0","20260413","20261211"
"Special#111","0","0","0","0","0","0","0","20260209","20261210"
"Special#112","0","0","0","0","0","0","0","20260209","20261211"
"Special#113","0","0","0","0","0","0","0","20260515","20260515"
"Special#114","0","0","0","0","0","0","0","20260213","20261212"
"Special#115","0","0","0","0","0","0","0","20260213","20261212"
"Special#116","0","0","0","0","0","0","0","20260213","20261211"
"Special#117","0","0","0","0","0","0","0","20260213","20261212"
"Special#118","0","0","0","0","0","0","0","20260213","20261211"
"Special#119","0","0","0","0","0","0","0","20260114","20261209"
"Special#120","0","0","0","0","0","0","0","20260112","20261211"
"Special#121","0","0","0","0","0","0","0","20260329","20261206"
"Special#122","0","0","0","0","0","0","0","20260328","20261212"
"Special#123","0","0","0","0","0","0","0","20260328","20261212"
"Special#124","0","0","0","0","0","0","0","20260330","20260911"
"Special#125","0","0","0","0","0","0","0","20260413","20261211"
"Special#126","0","0","0","0","0","0","0","20260328","20261212"
"Special#127","0","0","0","0","0","0","0","20260415","20261209"
"Special#128","0","0","0","0","0","0","0","20260414","20261208"
"Special#129","0","0","0","0","0","0","0","20260117","20261212"
"Special#130","0","0","0","0","0","0","0","20260601","20261211"
"Special#131","0","0","0","0","0","0","0","20260601","20261030"
"Special#132","0","0","0","0","0","0","0","20260606","20261212"
"Special#133","0","0","0","0","0","0","0","20260216","20260529"
"Special#134","0","0","0","0","0","0","0","20260204","20260530"
"Special#135","0","0","0","0","0","0","0","20260207","20260530"
"Special#136","0","0","0","0","0","0","0","20260204","20260529"
"Special#137","0","0","0","0","0","0","0","20260207","20260530"
"Special#138","0","0","0","0","0","0","0","20260608","20261211"
"Special#139","0","0","0","0","0","0","0","20260312","20260522"
"Special#140","0","0","0","0","0","0","0","20260312","20260529"
"Special#141","0","0","0","0","0","0","0","20260608","20261211"
"Special#142","0","0","0","0","0","0","0","20260609","20261211"
"Special#143","0","0","0","0","0","0","0","20260608","20261210"
"Special#144","0","0","0","0","0","0","0","20260426","20260426"
"Special#145","0","0","0","0","0","0","0","20260111","20261212"
"Special#146","0","0","0","0","0","0","0","20260112","20261211"
"Special#147","0","0","0","0","0","0","0","20260116","20261212"
"Special#148","0","0","0","0","0","0","0","20260617","20260619"
"Special#149","0","0","0","0","0","0","0","20260620","20260620"
"Special#150","0","0","0","0","0","0","0","20260116","20261212"
"Special#151","0","0","0","0","0","0","0","20260420","20260605"
"Special#152","0","0","0","0","0","0","0","20260426","20260604"
"Special#153","0","0","0","0","0","0","0","20260425","20260604"
"Special#154","0","0","0","0","0","0","0","20260425","20260530"
"Special#155","0","0","0","0","0","0","0","20260409","20261211"
"Special#156","0","0","0","0","0","0","0","20260412","20261206"
"Special#157","0","0","0","0","0","0","0","20260411","20261212"
"Special#158","0","0","0","0","0","0","0","20260411","20261212"
"Special#159","0","0","0","0","0","0","0","20260420","20260605"
"Special#160","0","0","0","0","0","0","0","20260420","20260605"
"Special#161","0","0","0","0","0","0","0","20260415","20261211"
"Special#162","0","0","0","0","0","0","0","20260409","20261212"
"Special#163","0","0","0","0","0","0","0","20260409","20261212"
"Special#164","0","0","0","0","0","0","0","20260424","20260605"
"Special#165","0","0","0","0","0","0","0","20260112","20261211"
"Special#166","0","0","0","0","0","0","0","20260112","20261211"
"Special#167","0","0","0","0","0","0","0","20260112","20261212"
"Special#168","0","0","0","0","0","0","0","20260117","20261212"
"Special#169","0","0","0","0","0","0","0","20260111","20261212"
"Special#170","0","0","0","0","0","0","0","20260116","20261212"
"Special#171","0","0","0","0","0","0","0","20260420","20260605"
"Special#172","0","0","0","0","0","0","0","20260424","20260605"
"Special#173","0","0","0","0","0","0","0","20260111","20261211"
"Special#174","0","0","0","0","0","0","0","20260111","20261212"
"Special#175","0","0","0","0","0","0","0","20260111","20261206"
"Special#176","0","0","0","0","0","0","0","20260111","20261211"
"Special#177","0","0","0","0","0","0","0","20260112","20261211"
"Special#178","0","0","0","0","0","0","0","20260112","20261212"
"Special#179","0","0","0","0","0","0","0","20260327","20260327"
"Special#180","0","0","0","0","0","0","0","20260112","20260327"
"Special#181","0","0","0","0","0","0","0","20260214","20261212"
"Special#182","0","0","0","0","0","0","0","20260215","20261206"
"Special#183","0","0","0","0","0","0","0","20260211","20261211"
"Special#184","0","0","0","0","0","0","0","20260516","20260516"
"Special#185","0","0","0","0","0","0","0","20260214","20261212"
"Special#186","0","0","0","0","0","0","0","20260211","20261212"
"Special#187","0","0","0","0","0","0","0","20260211","20261212"
"Special#188","0","0","0","0","0","0","0","20260213","20261212"
"Special#189","0","0","0","0","0","0","0","20260211","20261212"
"Special#190","0","0","0","0","0","0","0","20260211","20261211"
"Special#191","0","0","0","0","0","0","0","20260115","20261210"
"Special#192","0","0","0","0","0","0","0","20260112","20261210"
"Special#193","0","0","0","0","0","0","0","20260112","20261210"
"Special#194","0","0","0","0","0","0","0","20260420","20260522"
"Special#195","0","0","0","0","0","0","0","20260420","20260521"
"Special#196","0","0","0","0","0","0","0","20260112","20261211"
"Special#197","0","0","0","0","0","0","0","20260112","20261210"
"Special#198","0","0","0","0","0","0","0","20260421","20260521"
"Special#199","0","0","0","0","0","0","0","20260113","20261210"
"Special#200","0","0","0","0","0","0","0","20260114","20261209"
"Special#201","0","0","0","0","0","0","0","20260612","20260621"
"Special#202","0","0","0","0","0","0","0","20260612","20260614"
"Special#203","0","0","0","0","0","0","0","20260620","20260621"
"Special#204","0","0","0","0","0","0","0","20260612","20260613"
"Special#205","0","0","0","0","0","0","0","20260612","20260621"
"Special#206","0","0","0","0","0","0","0","20260612","20260612"
"Special#207","0","0","0","0","0","0","0","20260613","20260614"
"Special#208","0","0","0","0","0","0","0","20260613","20260621"
"Special#209","0","0","0","0","0","0","0","20260216","20261030"
"Special#210","0","0","0","0","0","0","0","20260111","20261212"
"Special#211","0","0","0","0","0","0","0","20260112","20261211"
"Special#212","0","0","0","0","0","0","0","20260523","20260913"
"Special#213","0","0","0","0","0","0","0","20260112","20261211"
"Special#214","0","0","0","0","0","0","0","20260113","20261211"
"Special#215","0","0","0","0","0","0","0","20260116","20261212"
"Special#216","0","0","0","0","0","0","0","20260515","20260605"
"Special#217","0","0","0","0","0","0","0","20260515","20260606"
"Special#218","0","0","0","0","0","0","0","20260517","20260607"
"Special#219","0","0","0","0","0","0","0","20260516","20260606"
"Special#220","0","0","0","0","0","0","0","20260515","20260522"
"Special#221","0","0","0","0","0","0","0","20260515","20260607"
"Special#222","0","0","0","0","0","0","0","20260516","20260607"
"Special#223","0","0","0","0","0","0","0","20260526","20260605"
"Special#224","0","0","0","0","0","0","0","20260113","20261211"
"Special#225","0","0","0","0","0","0","0","20260412","20261115"
"Special#226","0","0","0","0","0","0","0","20260613","20260919"
"Special#227","0","0","0","0","0","0","0","20260412","20261115"
"Special#228","0","0","0","0","0","0","0","20260518","20261211"
"Special#229","0","0","0","0","0","0","0","20260523","20261212"
"Special#230","0","0","0","0","0","0","0","20260518","20261212"
"Special#231","0","0","0","0","0","0","0","20260518","20261212"
"Special#232","0","0","0","0","0","0","0","20260523","20261212"
"Special#233","0","0","0","0","0","0","0","20260524","20261206"
"Special#234","0","0","0","0","0","0","0","20260330","20260515"
"Special#235","0","0","0","0","0","0","0","20260328","20260516"
"Special#236","0","0","0","0","0","0","0","20260328","20260517"
"Special#237","0","0","0","0","0","0","0","20260328","20260516"
"Special#238","0","0","0","0","0","0","0","20260328","20260517"
"Special#239","0","0","0","0","0","0","0","20260329","20260517"
"Special#240","0","0","0","0","0","0","0","20260518","20261211"
"Special#241","0","0","0","0","0","0","0","20260504","20261211"
"Special#242","0","0","0","0","0","0","0","20260504","20261211"
"Special#243","0","0","0","0","0","0","0","20260507","20261210"
"Special#244","0","0","0","0","0","0","0","20260119","20261211"
"Special#245","0","0","0","0","0","0","0","20260119","20261211"
"Special#246","0","0","0","0","0","0","0","20260119","20261211"
"Special#247","0","0","0","0","0","0","0","20260124","20261212"
"Special#248","0","0","0","0","0","0","0","20260119","20261212"
"Special#249","0","0","0","0","0","0","0","20260119","20261212"
"Special#250","0","0","0","0","0","0","0","20260125","20261206"
"Special#251","0","0","0","0","0","0","0","20260124","20261212"
"Special#252","0","0","0","0","0","0","0","20260415","20261209"
"Special#253","0","0","0","0","0","0","0","20260413","20261210"
"Special#254","0","0","0","0","0","0","0","20260112","20261209"
"Special#255","0","0","0","0","0","0","0","20260112","20261210"
"Special#256","0","0","0","0","0","0","0","20260112","20261210"
"Special#257","0","0","0","0","0","0","0","20260116","20261211"
"Special#258","0","0","0","0","0","0","0","20260112","20261210"
"Special#259","0","0","0","0","0","0","0","20260114","20261209"
"Special#260","0","0","0","0","0","0","0","20260114","20261211"
"Special#261","0","0","0","0","0","0","0","20260401","20261030"
"Special#262","0","0","0","0","0","0","0","20260401","20261029"
"Special#263","0","0","0","0","0","0","0","20260112","20261211"
"Special#264","0","0","0","0","0","0","0","20260216","20261029"
"Special#265","0","0","0","0","0","0","0","20260219","20260219"
"Special#266","0","0","0","0","0","0","0","20260113","20261210"
"Special#267","0","0","0","0","0","0","0","20260112","20261209"
"Special#268","0","0","0","0","0","0","0","20260113","20261211"
"Special#269","0","0","0","0","0","0","0","20260112","20261210"
"Special#270","0","0","0","0","0","0","0","20260116","20261211"
"Special#271","0","0","0","0","0","0","0","20260112","20261210"
"Special#272","0","0","0","0","0","0","0","20260116","20261211"
"Special#273","0","0","0","0","0","0","0","20260413","20260729"
"Special#274","0","0","0","0","0","0","0","20260413","20260522"
"Special#275","0","0","0","0","0","0","0","20260730","20261211"
"Special#276","0","0","0","0","0","0","0","20260401","20260412"
"Special#277","0","0","0","0","0","0","0","20260914","20261211"
"Special#278","0","0","0","0","0","0","0","20260801","20261101"
"Special#279","0","0","0","0","0","0","0","20260403","20260412"
"Special#280","0","0","0","0","0","0","0","20260401","20261101"
"Special#281","0","0","0","0","0","0","0","20260730","20260913"
"Special#282","0","0","0","0","0","0","0","20260401","20261211"
"Special#283","0","0","0","0","0","0","0","20260401","20261212"
"Special#284","0","0","0","0","0","0","0","20260401","20261212"
"Special#285","0","0","0","0","0","0","0","20260403","20261212"
"Special#286","0","0","0","0","0","0","0","20260401","20261030"
"Special#287","0","0","0","0","0","0","0","20260413","20260630"
"Special#288","0","0","0","0","0","0","0","20260515","20261211"
"Special#289","0","0","0","0","0","0","0","20260518","20261210"
"Special#290","0","0","0","0","0","0","0","20260413","20260630"
"Special#291","0","0","0","0","0","0","0","20260520","20261209"
"Special#292","0","0","0","0","0","0","0","20260415","20260624"
"Special#293","0","0","0","0","0","0","0","20260413","20261207"
"Special#294","0","0","0","0","0","0","0","20260413","20261208"
"Special#295","0","0","0","0","0","0","0","20260413","20261209"
"Special#296","0","0","0","0","0","0","0","20260415","20261211"
"Special#297","0","0","0","0","0","0","0","20260913","20260913"
"Special#298","0","0","0","0","0","0","0","20260725","20260726"
"Special#299","0","0","0","0","0","0","0","20260725","20260725"
"Special#300","0","0","0","0","0","0","0","20260726","20260726"
"Special#301","0","0","0","0","0","0","0","20260404","20261212"
"Special#302","0","0","0","0","0","0","0","20260724","20260728"
"Special#303","0","0","0","0","0","0","0","20260724","20260728"
"Special#304","0","0","0","0","0","0","0","20260724","20260728"
"Special#305","0","0","0","0","0","0","0","20260403","20261206"
"Special#306","0","0","0","0","0","0","0","20260404","20261212"
"Special#307","0","0","0","0","0","0","0","20260401","20261212"
"Special#308","0","0","0","0","0","0","0","20260401","20261211"
"Special#309","0","0","0","0","0","0","0","20260927","20260927"
"Special#310","0","0","0","0","0","0","0","20260419","20261108"
"Special#311","0","0","0","0","0","0","0","20260403","20261206"
"Special#312","0","0","0","0","0","0","0","20260926","20260926"
