route_id,agency_id,route_short_name,route_long_name,route_type
"omp-63-966M-1","omp-63","966","Legau - Memmingen","3"
"omp-72-150R-1","omp-72","150","Hbf - ZUM - Jakobwiese - Stiftallmey - Rothkreuz - Buchenberg - Wengen - Weitnau - Isny","3"
"omp-79-096M-1","omp-79","96","","3"
"omp-93-050M-1","omp-93","50","Isny - Sibratshofen - Weitnau/Wengen - Buchenberg - Kempten","3"
"omp-93-066M-1","omp-93","66","Leutkirch - Frauenzell - Kimratshofen - Altusried -Krugzell - Kempten","3"
"omp-93-080M-1","omp-93","80","Kreuzthal - Kempten","3"
"omp-94-019M-1","omp-94","19","","3"
"omp-94-192M-1","omp-94","192","","3"
"bod-0-449-1","bod-16","449","Bürgerbus Ostrach","3"
"bod-0-670-1","bod-37","670","BürgerBus Aulendorf e. V.","3"
"bod-0-696-1","bod-38","696","emma - Markdorf   Buchungshotline: 0751/ 3614152","3"
"bod-0-697-1","Default","697","Alpenblick - Oberstenweiler","3"
"bod-1-120-1","bod-13","120","Marktlinie: Wangen - Engelitz","3"
"bod-1-572-1","bod-13","7572","Leutkich - Ratzenried - Argenbühl/Eglofstal","3"
"bod-1-090-1","bod-13","90","Wangen - Ratzenried - Christazhofen - Wangen","3"
"bod-1-092-1","bod-13","92","Marktlinie: Wangen - Leupolz","3"
"bod-1-931-1","bod-13","1 Blau","Waltersbühl - Wittwais - Haid - Berger Höhe Stadtverkehr Wangen","3"
"bod-1-932-1","bod-13","2 Rot","Wangen Busbahnhof - St. Vinzenz","3"
"bod-1-933-1","bod-13","3 Gruen","Bindstr. - Südring - Landratsamt","3"
"bod-1-934-1","bod-13","4 Gelb","Busbahnhof - Südring - Fachklinik","3"
"bod-2-240-1","bod-05","240","Wilhelmsdorf - Altshausen","3"
"bod-2-040-1","bod-05","40","Wilhelmsdorf - Riedhausen - Hoßkirch - Ostrach","3"
"bod-2-041-1","bod-05","41","Wilhelmsdorf - Deggenhausertal","3"
"bod-2-044-1","bod-05","44","Wilh.Pfrungen - Zußdorf - Esenhausen - Wilhelmsdorf","3"
"bod-2-045-1","bod-05","45","Wilhelmsdorf - Waldbeuren - Ostrach","3"
"bod-2-685-1","bod-01","685","Grünwangen - Roggenbeuren","3"
"bod-3-111-1","bod-23","111","Seibranz - Arnach - Bad Wurzach","3"
"bod-3-549-1","bod-23","7549","Kißlegg - Arnach - Bad Wurzach","3"
"bod-3-940-1","bod-23","940","Bad Wurzach - Hauerz - Seibranz - Bad Wurzach","3"
"bod-4-012-1","bod-25","12","Ettishofen - Baien - Straß - Kleintobel - Berg","3"
