stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
"at:45:50809:0:3","","Salzburg Alpensiedlung P+R","47.7698673","13.0708467","","","","0",""
"at:48:1029:0:2","","Götzis Bahnhof","47.3373495","9.6373778","","0","at:48:1029_Parent","0",""
"at:48:1029:0:3","","Götzis Bahnhof","47.3362781","9.6363268","","0","at:48:1029_Parent","0",""
"at:48:1029:0:4","","Götzis Bahnhof","47.3363329","9.63621","","0","at:48:1029_Parent","0",""
"at:48:1029:0:5","","Götzis Bahnhof Bstg W","47.3372339","9.6375036","","0","at:48:1029_Parent","0","W"
"at:48:1029:1","","Götzis Bahnhof","47.3373434","9.6374228","","0","at:48:1029_Parent","0",""
"at:48:1029_Parent","","Götzis Bahnhof","47.3366981","9.6369377","","1","","",""
"at:48:1073:0:1","","Hörbranz Unterhochsteg","47.5366549","9.7370369","","","","0",""
"at:48:1073:0:4","","Hörbranz Unterhochsteg","47.5364123","9.7376747","","","","0",""
"at:48:1099:0:1","","Dornbirn Haselstauden Bahnhof","47.4333626","9.7496313","","","","0",""
"at:48:1099:0:2","","Dornbirn Haselstauden Bahnhof","47.4333444","9.7496852","","","","0",""
"at:48:1133:0:2","","Hohenems Bahnhof","47.364944","9.6813683","","0","at:48:1133_Parent","0",""
"at:48:1133:0:3","","Hohenems Bahnhof","47.3649744","9.6813055","","0","at:48:1133_Parent","0",""
"at:48:1133:0:4","","Hohenems Bahnhof","47.3650231","9.6811977","","0","at:48:1133_Parent","0",""
"at:48:1133:1","","Hohenems Bahnhof","47.3649318","9.6814312","","0","at:48:1133_Parent","0",""
"at:48:1133_Parent","","Hohenems Bahnhof","47.3648405","9.6813414","","1","","",""
"at:48:1149:0:1","","Hohenweiler Bruck","47.5853075","9.7795632","","","","0",""
"at:48:1149:0:2","","Hohenweiler Bruck","47.5853863","9.7795183","","","","0",""
"at:48:1150:0:1","","Hohenweiler Fesslers","47.5744243","9.7724575","","","","0",""
"at:48:1150:0:2","","Hohenweiler Fesslers","47.5746788","9.7725114","","","","0",""
"at:48:1151:0:1","","Hohenweiler Gwiggen","47.5721819","9.770625","","","","0",""
"at:48:1151:0:2","","Hohenweiler Gwiggen","47.5724304","9.7707597","","","","0",""
"at:48:1152:0:1","","Hohenweiler Hub","47.58046","9.7837044","","","","0",""
"at:48:1152:0:2","","Hohenweiler Hub","47.5810054","9.7850429","","","","0",""
"at:48:1153:0:1","","Hohenweiler Leutenhofen","47.5802843","9.7768233","","","","0",""
"at:48:1153:0:2","","Hohenweiler Leutenhofen","47.5803025","9.7767515","","","","0",""
"at:48:1154:0:1","","Hohenweiler Gemeindeamt","47.5887974","9.7814676","","","","0",""
"at:48:1154:0:2","","Hohenweiler Gemeindeamt","47.588749","9.7815395","","","","0",""
"at:48:1156:0:1","","Hörbranz Berg","47.5655755","9.7641661","","","","0",""
"at:48:1156:0:2","","Hörbranz Berg","47.5651088","9.7635732","","","","0",""
"at:48:1157:0:1","","Hörbranz Berger Kreuz","47.561199","9.7619113","","","","0",""
"at:48:1157:0:2","","Hörbranz Berger Kreuz","47.5606656","9.7616867","","","","0",""
"at:48:1158:0:1","","Hörbranz Brantmann","47.5460725","9.7553626","","","","0",""
"at:48:1158:0:2","","Hörbranz Brantmann","47.5460058","9.7552458","","","","0",""
"at:48:1159:0:1","","Hörbranz Fronhofen","47.5441079","9.7534851","","","","0",""
"at:48:1159:0:2","","Hörbranz Fronhofen","47.5441806","9.7534851","","","","0",""
"at:48:1160:0:1","","Hörbranz Gemeindeamt","47.5555127","9.7513471","","","","0",""
"at:48:1160:0:2","","Hörbranz Gemeindeamt","47.5550216","9.7503949","","","","0",""
"at:48:1161:0:1","","Hörbranz Leiblach","47.5426768","9.7408728","","","","0",""
"at:48:1161:0:2","","Hörbranz Leiblach","47.5426343","9.7408099","","","","0",""
"at:48:1162:0:1","","Hörbranz Leiblach Siedlung","47.5403603","9.7424807","","","","0",""
"at:48:1162:0:2","","Hörbranz Leiblach Siedlung","47.5406453","9.7422562","","","","0",""
"at:48:1163:0:1","","Hörbranz Oberdorf","47.5573375","9.7583899","","","","0",""
"at:48:1163:0:2","","Hörbranz Oberdorf","47.5573739","9.7582821","","","","0",""
"at:48:1164:0:1","","Hörbranz Sannwald","47.5509717","9.7421394","","","","0",""
"at:48:1164:0:2","","Hörbranz Sannwald","47.5510202","9.7420675","","","","0",""
"at:48:1165:0:1","","Hörbranz Unterdorf","47.5534272","9.7452745","","","","0",""
"at:48:1165:0:2","","Hörbranz Unterdorf","47.5533301","9.7429658","","","","0",""
"at:48:1167:0:1","","Hörbranz Weidach","47.5468487","9.7414117","","","","0",""
"at:48:1167:0:2","","Hörbranz Weidach","47.5468668","9.7413489","","","","0",""
"at:48:1168:0:1","","Hörbranz Ziegelbach","47.5477521","9.7522544","","","","0",""
"at:48:1168:0:2","","Hörbranz Ziegelbach","47.5475399","9.7525688","","","","0",""
"at:48:1169:0:1","","Hörbranz Ziegelbach Kreuz","47.5516022","9.7512213","","","","0",""
"at:48:1169:0:2","","Hörbranz Ziegelbach Kreuz","47.5513779","9.7510866","","","","0",""
"at:48:1170:0:1","","Langen Hub","47.5294799","9.8634928","","","","0",""
"at:48:1170:0:2","","Langen Hub","47.5296254","9.8634479","","","","0",""
"at:48:1176:0:1","","Kennelbach Herzenmoos","47.4862695","9.7696368","","","","0",""
"at:48:1176:0:2","","Kennelbach Herzenmoos","47.4863363","9.7695829","","","","0",""
"at:48:1178:0:1","","Kennelbach Kustersberg","47.4863241","9.7514639","","","","0",""
"at:48:1178:0:2","","Kennelbach Kustersberg","47.4865973","9.7508261","","","","0",""
"at:48:1180:0:1","","Kennelbach Rain","47.4851222","9.7600787","","","","0",""
"at:48:1180:0:2","","Kennelbach Rain","47.4851404","9.7612645","","","","0",""
"at:48:1184:0:4","","Klaus Bahnhof","47.3078281","9.625017","","","","0",""
"at:48:1184:0:5","","Klaus Bahnhof","47.3083702","9.6246667","","","","0",""
"at:48:1184:1","","Klaus Bahnhof","47.3078098","9.6249991","","","","0",""
"at:48:1227:0:1","","Langen Fischanger","47.5158974","9.8441341","","","","0",""
"at:48:1227:0:2","","Langen Fischanger","47.5158731","9.8439544","","","","0",""
"at:48:1228:0:1","","Langen Hälin","47.5011523","9.809504","","","","0",""
"at:48:1228:0:2","","Langen Hälin","47.5011523","9.8093513","","","","0",""
"at:48:1229:0:1","","Langen Gesern","47.4988097","9.8034584","","","","0",""
"at:48:1229:0:2","","Langen Gesern","47.499101","9.8042309","","","","0",""
"at:48:1230:0:1","","Langen Gschwend","47.5127121","9.838313","","","","0",""
"at:48:1230:0:2","","Langen Gschwend","47.5127303","9.8380884","","","","0",""
"at:48:1232:0:1","","Langen Dorf","47.5089865","9.8286382","","","","0",""
"at:48:1232:0:2","","Langen Dorf","47.5088106","9.8282339","","","","0",""
"at:48:1233:0:1","","Langen Rietern","47.5042534","9.8181907","","","","0",""
"at:48:1233:0:2","","Langen Rietern","47.5044112","9.8184243","","","","0",""
"at:48:1234:0:1","","Langen Vorderhub","47.5230986","9.8540335","","","","0",""
"at:48:1234:0:2","","Langen Vorderhub","47.5231532","9.8539257","","","","0",""
"at:48:1235:0:1","","Langen Wirtatobel","47.5015771","9.7940171","","","","0",""
"at:48:1235:0:2","","Langen Wirtatobel","47.5017531","9.7940979","","","","0",""
"at:48:1252:0:3","","Lauterach Bahnhof","47.4770597","9.7243976","","","","0",""
"at:48:1252:0:4","","Lauterach Bahnhof","47.4779887","9.7242988","","","","0",""
"at:48:1287:0:1","","Lochau Alberloch","47.5342593","9.7461459","","","","0",""
"at:48:1287:0:3","","Lochau Alberloch","47.5341441","9.7454272","","","","0",""
"at:48:1288:0:1","","Hörbranz Alberloch Kloster","47.5378072","9.7443402","","","","0",""
"at:48:1288:0:2","","Hörbranz Alberloch Kloster","47.5380073","9.7441875","","","","0",""
"at:48:1292:0:1","","Lochau Freners Säge","47.5378254","9.7523442","","","","0",""
"at:48:1292:0:2","","Lochau Freners Säge","47.5385774","9.7518951","","","","0",""
"at:48:130:0:1","","Bludenz Bahnhof","47.1550866","9.8140046","","0","at:48:130_Parent","0",""
"at:48:130:0:10","","Bludenz Bahnhof","47.1552332","9.8142831","","0","at:48:130_Parent","0",""
"at:48:130:0:12","","Bludenz Bahnhof","47.1551416","9.8141124","","0","at:48:130_Parent","0",""
"at:48:130:0:2","","Bludenz Bahnhof","47.1558074","9.8136632","","0","at:48:130_Parent","0",""
"at:48:130:0:4","","Bludenz Bahnhof","47.1552943","9.8142831","","0","at:48:130_Parent","0",""
