route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-68-1","","","","1","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-2-R-0-Special#2-8-2","","","","1","","2"
"omp-63-966M-1","Special#3","omp-63-966M-1-1-2-R-0-Special#3-92-3","","","","1","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-2-R-0-Special#4-4-4","","","","1","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-2-R-0-Special#2-10-5","","","","1","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-2-R-0-Special#2-12-6","","","","1","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-2-R-0-Special#4-5-7","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-115-8","","","","1","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-2-R-0-Special#2-14-9","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-122-10","","","","1","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-2-R-0-Special#4-6-11","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-128-12","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-132-13","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-71-14","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-84-15","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-99-16","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-107-17","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-114-18","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-118-19","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-131-20","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-2-R-0-Special#5-135-21","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-96-22","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-111-23","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-2-R-0-Special-119-24","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-55-R-1-Special-108-25","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-21-R-2-Special-72-26","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-22-R-3-Special-75-27","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-23-R-4-Special-78-28","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-24-R-6-Special-81-29","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-25-R-7-Special-89-30","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-25-R-7-Special#5-85-31","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-26-R-8-Special-86-32","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-26-R-8-Special-100-33","","","","1","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-26-R-8-Special#5-103-34","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-27-R-9-Special-104-35","","","","1","","2"
"omp-63-966M-1","Special#6","omp-63-966M-1-1-57-R-11-Special#6-124-36","","","","1","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-1-H-0-Special-1-37","","","","0","","2"
"omp-63-966M-1","Special#3","omp-63-966M-1-1-1-H-0-Special#3-8-38","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-0-Special#5-4-39","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-0-Special#5-22-40","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-0-Special#5-26-41","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-0-Special#5-30-42","","","","0","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-1-H-1-Special#2-1-43","","","","0","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-1-H-1-Special#2-3-44","","","","0","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-1-H-1-Special#4-1-45","","","","0","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-1-H-1-Special#2-5-46","","","","0","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-1-H-1-Special#4-2-47","","","","0","","2"
"omp-63-966M-1","Special#2","omp-63-966M-1-1-1-H-1-Special#2-7-48","","","","0","","2"
"omp-63-966M-1","Special#4","omp-63-966M-1-1-1-H-1-Special#4-3-49","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-4-H-3-Special#5-15-50","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-4-H-3-Special-12-51","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-7-H-4-Special-23-52","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-8-H-5-Special-27-53","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-10-H-7-Special-34-54","","","","0","","2"
"omp-63-966M-1","Special#7","omp-63-966M-1-1-1-H-8-Special#7-52-55","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-8-Special#5-43-56","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-8-Special#5-53-57","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-1-H-8-Special#5-56-58","","","","0","","2"
"omp-63-966M-1","Special#6","omp-63-966M-1-1-17-H-10-Special#6-49-59","","","","0","","2"
"omp-63-966M-1","Special#6","omp-63-966M-1-1-18-H-12-Special#6-54-60","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-20-H-14-Special-60-61","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-20-H-14-Special#5-63-62","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-14-H-16-Special#5-47-63","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-14-H-16-Special-64-64","","","","0","","2"
"omp-63-966M-1","Special#5","omp-63-966M-1-1-14-H-16-Special#5-67-65","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-14-H-16-Special-44-66","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-6-H-17-Special-19-67","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-12-H-20-Special-40-68","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-19-H-22-Special-57-69","","","","0","","2"
"omp-63-966M-1","Special","omp-63-966M-1-1-11-H-18-Special-37-70","","","","0","","2"
"omp-72-150R-1","Special#8","omp-72-150R-1-4-3-R-1-Special#8-4-1","","","","1","","2"
"omp-72-150R-1","Special#9","omp-72-150R-1-4-3-R-1-Special#9-1-2","","","","1","","2"
"omp-72-150R-1","Special#10","omp-72-150R-1-4-3-R-1-Special#10-2-3","","","","1","","2"
"omp-72-150R-1","Special#11","omp-72-150R-1-4-5-R-3-Special#11-5-4","","","","1","","2"
"omp-72-150R-1","Special#2","omp-72-150R-1-4-5-R-3-Special#2-7-5","","","","1","","2"
"omp-72-150R-1","Special#12","omp-72-150R-1-4-1-R-5-Special#12-6-6","","","","1","","2"
"omp-72-150R-1","Special#12","omp-72-150R-1-4-1-R-5-Special#12-7-7","","","","1","","2"
"omp-72-150R-1","Special#10","omp-72-150R-1-4-1-R-5-Special#10-8-8","","","","1","","2"
"omp-72-150R-1","Special#4","omp-72-150R-1-4-5-R-6-Special#4-9-9","","","","1","","2"
"omp-72-150R-1","Special#13","omp-72-150R-1-4-4-R-8-Special#13-3-10","","","","1","","2"
"omp-72-150R-1","Special#2","omp-72-150R-1-4-1-R-9-Special#2-8-11","","","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-26-H-0-Special#14-42-1","","Stiefenhofen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-29-H-3-Special#14-46-2","","Steifenhofen über Harbatshofen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-31-H-4-Special#14-48-3","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-5-H-5-Special#15-14-4","","","","0","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-5-H-5-Special#15-16-5","","","","0","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-5-H-5-Special#16-50-6","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-5-H-5-Special#16-71-7","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-32-H-7-Special#14-51-8","","Oberstaufen über Wolfsried","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-36-H-11-Special#14-55-9","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-36-H-11-Special#14-74-10","","Oberstaufen über Wolfsried","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-37-H-13-Special#14-57-11","","Vorderreute-Sinswang","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-38-H-15-Special#14-59-12","","Oberstaufen, Schule","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-39-H-17-Special#14-61-13","","Oberstaufen über Wolfsried","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-40-H-19-Special#14-63-14","","Vorderreute-Sinswang","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-40-H-19-Special#14-69-15","","Vorderreute-Sinswang","","0","","2"
"omp-79-096M-1","Special#17","omp-79-096M-1-3-40-H-19-Special#17-77-16","","Vorderreute-Sinswang","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-41-H-21-Special#14-65-17","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-41-H-21-Special#14-72-18","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#17","omp-79-096M-1-3-41-H-21-Special#17-78-19","","Oberstaufen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-42-H-23-Special#14-67-20","","Oberstaufen über Wolfsried","","0","","2"
"omp-79-096M-1","Special#17","omp-79-096M-1-3-43-H-24-Special#17-76-21","","Burkatshofen-Stiefenhofen","","0","","2"
"omp-79-096M-1","Special#18","omp-79-096M-1-3-6-H-26-Special#18-18-22","","","","0","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-6-H-26-Special#16-79-23","","Steifenhofen über Harbatshofen","","0","","2"
"omp-79-096M-1","Special#17","omp-79-096M-1-3-44-H-28-Special#17-80-24","","Steifenhofen über Harbatshofen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-34-H-9-Special#14-53-25","","Burkatshofen-Stiefenhofen","","0","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-27-H-1-Special#14-44-26","","Schulbus","","0","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-4-R-1-Special#16-41-27","","Burkatshofen-Stiefenhofen","","1","","2"
"omp-79-096M-1","Special#18","omp-79-096M-1-3-4-R-1-Special#18-13-28","","Burkatshofen-Stiefenhofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-7-R-2-Special#14-1-29","","Stiefenhofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-8-R-4-Special#14-3-30","","Oberstaufen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-9-R-6-Special#14-5-31","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-10-R-7-Special#14-7-32","","Burkatshofen-Stiefenhofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-11-R-9-Special#14-9-33","","Oberstaufen","","1","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-1-R-11-Special#15-1-34","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-1-R-11-Special#16-11-35","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#18","omp-79-096M-1-3-1-R-11-Special#18-5-36","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-1-R-11-Special#16-17-37","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#19","omp-79-096M-1-3-1-R-11-Special#19-27-38","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-13-R-13-Special#14-12-39","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-2-R-14-Special#14-38-40","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-2-R-15-Special#16-14-41","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-2-R-15-Special#15-3-42","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#18","omp-79-096M-1-3-2-R-15-Special#18-6-43","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-2-R-15-Special#16-18-44","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-2-R-15-Special#15-9-45","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-2-R-15-Special#16-32-46","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-14-R-16-Special#14-15-47","","Steifenhofen über Harbatshofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-15-R-18-Special#14-19-48","","Oberstaufen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-16-R-20-Special#14-21-49","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-17-R-22-Special#14-23-50","","","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-17-R-22-Special#14-30-51","","","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-18-R-24-Special#14-25-52","","Burkatshofen-Stiefenhofen","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-19-R-26-Special#14-28-53","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-21-R-27-Special#14-33-54","","","","1","","2"
"omp-79-096M-1","Special#15","omp-79-096M-1-3-3-R-28-Special#15-11-55","","","","1","","2"
"omp-79-096M-1","Special#16","omp-79-096M-1-3-3-R-28-Special#16-35-56","","","","1","","2"
"omp-79-096M-1","Special#14","omp-79-096M-1-3-23-R-30-Special#14-36-57","","Stiefenhofen über Wolfsried","","1","","2"
"omp-79-096M-1","Special#17","omp-79-096M-1-3-25-R-0-Special#17-40-58","","Stiefenhofen","","1","","2"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-138-R-1-Special#4-5-1","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-138-R-1-Special#2-14-2","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-137-R-2-Special#4-4-3","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-136-R-3-Special#4-3-4","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-135-R-4-Special#4-2-5","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-134-R-5-Special#4-1-6","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-106-R-6-Special#2-5-7","","KEMPTEN ZUM/Zentrum","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-106-R-7-Special#3-91-8","","KEMPTEN ZUM/Zentrum","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-105-R-9-Special#3-87-9","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-104-R-10-Special#3-83-10","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-103-R-11-Special#5-81-11","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-87-R-12-Special#5-58-12","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-87-R-12-Special#5-78-13","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-102-R-13-Special-77-14","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-101-R-14-Special-75-15","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-100-R-15-Special-73-16","","Kempten ZUM über Weitnau","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-88-R-16-Special#3-29-17","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-88-R-16-Special#5-71-18","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-99-R-18-Special#3-67-19","","KEMPTEN Hbf über ZUM/Zentrum","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-98-R-19-Special-65-20","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-90-R-20-Special#3-37-21","","Kempten ZUM","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-90-R-20-Special#5-55-22","","Kempten ZUM","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-90-R-20-Special#3-61-23","","Kempten ZUM","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-97-R-21-Special-57-24","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-96-R-22-Special-53-25","","Kempten   ZUM/Zentrum","","1","","1"
"omp-93-050M-1","Special#20","omp-93-050M-1-1-95-R-23-Special#20-52-26","","Kempten ZUM über Weitnau / Hbf","","1","","2"
"omp-93-050M-1","Special#21","omp-93-050M-1-1-95-R-23-Special#21-51-27","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#22","omp-93-050M-1-1-94-R-24-Special#22-46-28","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#22","omp-93-050M-1-1-93-R-25-Special#22-45-29","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-92-R-26-Special#5-43-30","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-91-R-27-Special-41-31","","Kempten ZUM über Weitnau","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-89-R-28-Special#3-33-32","","Kempten ZUM über Hauptbahnhof","","1","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-87-R-29-Special#3-25-33","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#22","omp-93-050M-1-1-86-R-30-Special#22-22-34","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-85-R-31-Special#5-19-35","","Kempten ZUM über Hauptbahnhof","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-84-R-32-Special-18-36","","Kempten ZUM über Hauptbahnhof","","1","","1"
"omp-93-050M-1","Special#22","omp-93-050M-1-1-83-R-33-Special#22-15-37","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-82-R-34-Special-13-38","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-81-R-35-Special#5-11-39","","Kempten ZUM ü. Wengen/Weitnau/Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-80-R-36-Special-9-40","","Kempten ZUM ü. Wengen/Weitnau/Hbf","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-79-R-37-Special-7-41","","KEMPTEN ZUM/Zentrum","","1","","2"
"omp-93-050M-1","Special","omp-93-050M-1-1-78-R-38-Special-5-42","","KEMPTEN Hbf über Wengen / ZUM","","1","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-77-R-39-Special#5-2-43","","KEMPTEN Hbf über Weitnau / ZUM","","1","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-76-R-40-Special-1-44","","KEMPTEN Hbf über Weitnau / ZUM","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-149-R-41-Special#2-13-45","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-148-R-42-Special#2-11-46","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-147-R-43-Special#2-9-47","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-146-R-44-Special#2-7-48","","Kempten ZUM über Wengen / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-145-R-45-Special#2-3-49","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-144-R-46-Special#2-1-50","","Kempten ZUM über Weitnau / Hbf","","1","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-143-H-0-Special#2-15-51","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-143-H-0-Special#4-10-52","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-143-H-0-Special#2-28-53","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#23","omp-93-050M-1-1-142-H-1-Special#23-9-54","","ISNY Kurhaus   über Wengen","","0","","1"
"omp-93-050M-1","Special#4","omp-93-050M-1-1-141-H-2-Special#4-8-55","","ISNY Kurhaus   über Wengen","","0","","1"
"omp-93-050M-1","Special#23","omp-93-050M-1-1-140-H-3-Special#23-7-56","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-140-H-3-Special#2-25-57","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#23","omp-93-050M-1-1-139-H-4-Special#23-6-58","","ISNY Kurhaus   über Wengen","","0","","1"
"omp-93-050M-1","Special#2","omp-93-050M-1-1-139-H-4-Special#2-23-59","","ISNY Kurhaus   über Wengen","","0","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-133-H-5-Special#3-171-60","","BUCHENBERG über Wirlings","","0","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-132-H-6-Special-167-61","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-132-H-6-Special#5-168-62","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-131-H-8-Special#3-163-63","","Rothkreuz","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-130-H-9-Special#5-160-64","","SONNECK über Weitnau Anschluss nach Isny","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-129-H-10-Special#5-157-65","","ISNY Kurhaus   über Wengen","","0","","1"
"omp-93-050M-1","Special#3","omp-93-050M-1-1-128-H-11-Special#3-153-66","","ISNY Kurhaus   über ZUM / Weitnau","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-126-H-13-Special#5-148-67","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-125-H-14-Special-147-68","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-124-H-15-Special#5-144-69","","Rothkreuz","","0","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-123-H-16-Special-143-70","","Rothkreuz","","0","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-121-H-18-Special-139-71","","BUCHENBERG über Ahegg","","0","","1"
"omp-93-050M-1","Special","omp-93-050M-1-1-120-H-19-Special-137-72","","ISNY Kurhaus   über ZUM / Weitnau","","0","","1"
"omp-93-050M-1","Special#5","omp-93-050M-1-1-119-H-20-Special#5-135-73","","ISNY Kurhaus   über Weitnau","","0","","1"
"omp-93-050M-1","Special#22","omp-93-050M-1-1-117-H-22-Special#22-130-74","","ISNY Kurhaus   über Weitnau","","0","","1"
