stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
de:08115:3190:0:1,Renningen Industriestr. (Bahnhof),48.775248,8.931000,,de:08115:3190_Parent,5
de:08115:3190_Parent,Renningen Industriestr. (Bahnhof),48.775262,8.930755,1,,
de:08115:4564:0:3,Weissach Porsche,48.851961,8.902578,,de:08115:4564_Parent,3
de:08115:4564_Parent,Weissach Porsche,48.851799,8.902198,1,,
de:08115:4593:1:3,Hausen Würmtalstraße,48.788316,8.833582,,de:08115:4593_Parent,3
de:08115:4593:1:4,Hausen Würmtalstraße,48.788428,8.833968,,de:08115:4593_Parent,4
de:08115:4593_Parent,Hausen Würmtalstraße,48.788372,8.833775,1,,
de:08115:5837:0:3,Perouse Hauptstraße,48.814835,8.908683,,de:08115:5837_Parent,3
de:08115:5837:0:4,Perouse Hauptstraße,48.814281,8.908344,,de:08115:5837_Parent,4
de:08115:5837_Parent,Perouse Hauptstraße,48.814558,8.908513,1,,
de:08115:5851:0:3,Malmsheim Robert-Bosch-Campus,48.787871,8.914115,,de:08115:5851_Parent,3
de:08115:5851_Parent,Malmsheim Robert-Bosch-Campus,48.787871,8.914115,1,,
de:08115:7831:0:3,Perouse Sportgelände,48.811085,8.896105,,de:08115:7831_Parent,3
de:08115:7831:0:4,Perouse Sportgelände,48.811148,8.896012,,de:08115:7831_Parent,4
de:08115:7831_Parent,Perouse Sportgelände,48.811116,8.896058,1,,
de:08115:7832:0:3,Perouse Wilhelm-Kopp-Str.,48.811660,8.901014,,de:08115:7832_Parent,3
de:08115:7832:0:4,Perouse Wilhelm-Kopp-Str.,48.811721,8.900910,,de:08115:7832_Parent,4
de:08115:7832_Parent,Perouse Wilhelm-Kopp-Str.,48.811690,8.900962,1,,
de:08118:5631:1:1,Vaihingen (Enz) Grabenstraße,48.932872,8.958688,,de:08118:5631_Parent,1
de:08118:5631_Parent,Vaihingen (Enz) Grabenstr.,48.932927,8.958477,1,,
de:08118:5733:0:3,Vaihingen (Enz) Stadthalle,48.935332,8.960128,,de:08118:5733_Parent,3
de:08118:5733:0:4,Vaihingen (Enz) Stadthalle,48.935140,8.960687,,de:08118:5733_Parent,4
de:08118:5733_Parent,Vaihingen (Enz) Stadthalle,48.934973,8.959911,1,,
de:08118:5811:0:3,Roßwag Sporthalle,48.936999,8.918257,,de:08118:5811_Parent,3
de:08118:5811:0:4,Roßwag Sporthalle,48.937183,8.918481,,de:08118:5811_Parent,4
de:08118:5811_Parent,Roßwag Sporthalle,48.937091,8.918369,1,,
de:08118:5879:4:3,Vaihingen (Enz) Bahnhof,48.946327,8.958797,,de:08118:5879_Parent,3
de:08118:5879_Parent,Vaihingen (Enz) Bahnhof,48.946327,8.958797,1,,
de:08118:5880:0:3,Vaihingen (Enz) Neue Bahnhofstr.,48.940439,8.963961,,de:08118:5880_Parent,3
de:08118:5880:0:4,Vaihingen (Enz) Neue Bahnhofstr.,48.940413,8.963854,,de:08118:5880_Parent,4
de:08118:5880_Parent,Vaihingen (Enz) Neue Bahnhofstraße,48.940426,8.963907,1,,
de:08118:6836:0:3,Vaihingen (Enz) Stromberggymnasium,48.940106,8.965143,,de:08118:6836_Parent,3
de:08118:6836:0:4,Vaihingen (Enz) Stromberggymnasium,48.940142,8.965273,,de:08118:6836_Parent,4
de:08118:6836_Parent,Vaihingen (Enz) Stromberggymnasium,48.940124,8.965208,1,,
de:08118:6849:0:3,Roßwag Seemühle,48.937589,8.942547,,de:08118:6849_Parent,3
de:08118:6849:0:4,Roßwag Seemühle,48.937490,8.942602,,de:08118:6849_Parent,4
de:08118:6849_Parent,Roßwag Seemühle,48.937539,8.942574,1,,
de:08118:6850:0:3,Roßwag Mühlhäuser Straße,48.936041,8.914519,,de:08118:6850_Parent,3
de:08118:6850:0:4,Roßwag Mühlhäuser Straße,48.935649,8.911219,,de:08118:6850_Parent,2
de:08118:6850_Parent,Roßwag Mühlhäuser Straße,48.935845,8.912869,1,,
de:08118:6980:0:3,Vaihingen (Enz) Jugenddorf,48.935773,8.953654,,de:08118:6980_Parent,3
de:08118:6980:0:4,Vaihingen (Enz) Jugenddorf,48.935890,8.953818,,de:08118:6980_Parent,4
de:08118:6980_Parent,Vaihingen (Enz) Jugenddorf,48.935831,8.953736,1,,
de:08118:6981:0:3,Vaihingen (Enz) Steinwerk,48.938761,8.950454,,de:08118:6981_Parent,3
de:08118:6981:0:4,Vaihingen (Enz) Steinwerk,48.938635,8.950258,,de:08118:6981_Parent,4
de:08118:6981_Parent,Vaihingen (Enz) Steinwerk,48.938698,8.950356,1,,
de:08118:7841:0:1,Roßwag Friedhof,48.934389,8.916346,,de:08118:7841_Parent,3
de:08118:7841_Parent,Roßwag Friedhof,48.934389,8.916346,1,,
de:08118:7842:0:3,Roßwag Silvanerstraße,48.934684,8.912742,,de:08118:7842_Parent,3
de:08118:7842_Parent,Roßwag Silvanerstraße,48.934684,8.912742,1,,
de:08125:3444:0:1,Leonbronn West,49.065275,8.894560,,de:08125:3444_Parent,1
de:08125:3444:0:2,Leonbronn West,49.065313,8.894516,,de:08125:3444_Parent,2
de:08125:3444_Parent,Leonbronn West,49.065292,8.894553,1,,
de:08125:4441:0:1,Ochsenburg Wendeplatte,49.072537,8.896007,,de:08125:4441_Parent,1
de:08125:4441:0:2,Ochsenburg Wendeplatte,49.072545,8.895946,,de:08125:4441_Parent,2
de:08125:4441_Parent,Ochsenburg Wendeplatte,49.072578,8.896088,1,,
de:08215:12587:1:1,Bretten Pforzheimer Straße,49.030833,8.705148,,de:08215:12587_Parent,1
de:08215:12587:1:2,Bretten Pforzheimer Straße,49.030915,8.705181,,de:08215:12587_Parent,2
de:08215:12587_Parent,Bretten Pforzheimer Straße,49.030874,8.705164,1,,
de:08215:12601:0:1,Bretten Sporgasse,49.037274,8.708027,,de:08215:12601_Parent,1
de:08215:12601:0:2,Bretten Sporgasse,49.037324,8.708079,,de:08215:12601_Parent,2
de:08215:12601_Parent,Bretten Sporgasse,49.037299,8.708053,1,,
de:08215:12602:0:1,Bretten Alte Post,49.037749,8.699662,,de:08215:12602_Parent,1
de:08215:12602:0:2,Bretten Alte Post,49.037776,8.699625,,de:08215:12602_Parent,2
de:08215:12602_Parent,Bretten Alte Post,49.037763,8.699644,1,,
de:08215:1403:2:3,Langensteinbach Bahnhof,48.915616,8.503247,,de:08215:1403_Parent,3
de:08215:1403_Parent,Langensteinbach Bahnhof,48.915846,8.503205,1,,
de:08215:14105:1:1,Bretten Im Grüner,49.029940,8.717337,,de:08215:14105_Parent,1
de:08215:14105_Parent,Bretten Im Grüner,49.030104,8.717317,1,,
de:08215:14106:0:1,Bretten Melanchthongymnasium,49.035851,8.711365,,de:08215:14106_Parent,1
de:08215:14106:0:2,Bretten Melanchthongymnasium,49.035898,8.711388,,de:08215:14106_Parent,2
de:08215:14106_Parent,Bretten Melanchthongymnasium,49.035875,8.711376,1,,
de:08215:1410:2:11,Ittersbach Rathaus,48.866798,8.508586,,de:08215:1410_Parent,11
de:08215:1410:2:12,Ittersbach Rathaus,48.866530,8.507320,,de:08215:1410_Parent,12
de:08215:1410:2:13,Ittersbach Rathaus,48.866432,8.507418,,de:08215:1410_Parent,13
de:08215:1410_Parent,Ittersbach Rathaus,48.866356,8.508640,1,,
de:08215:1412:0:1,Ittersbach Descostraße,48.884189,8.509330,,de:08215:1412_Parent,1
de:08215:1412:0:2,Ittersbach Descostraße,48.884238,8.509177,,de:08215:1412_Parent,2
de:08215:1412_Parent,Ittersbach Descostraße,48.884214,8.509254,1,,
de:08215:1413:0:1,Ittersbach Industriegebiet,48.882373,8.509371,,de:08215:1413_Parent,1
de:08215:1413:0:2,Ittersbach Industriegebiet,48.882289,8.509225,,de:08215:1413_Parent,2
de:08215:1413_Parent,Ittersbach Industriegebiet,48.882331,8.509298,1,,
de:08215:14302:0:1,Oberderdingen Allmend,49.071620,8.796423,,de:08215:14302_Parent,1
de:08215:14302:0:2,Oberderdingen Allmend,49.071920,8.795808,,de:08215:14302_Parent,2
de:08215:14302_Parent,Oberderdingen Allmend,49.071770,8.796116,1,,
de:08215:14303:0:1,Oberderdingen Blanco Verwaltung,49.067364,8.803346,,de:08215:14303_Parent,1
de:08215:14303:0:2,Oberderdingen Blanco Verwaltung,49.067292,8.803274,,de:08215:14303_Parent,2
de:08215:14303_Parent,Oberderdingen Blanco Verwaltung,49.067328,8.803310,1,,
de:08215:14310:0:1,Bretten Derdinger Str.,49.033714,8.717414,,de:08215:14310_Parent,1
de:08215:14310:0:2,Bretten Derdinger Str.,49.033787,8.717505,,de:08215:14310_Parent,2
de:08215:14310_Parent,Bretten Derdinger Str.,49.033751,8.717459,1,,
de:08215:14407:0:4,Oberderdingen Schulzentrum,49.064891,8.807859,,de:08215:14407_Parent,2
de:08215:14407_Parent,Oberderdingen Schulzentrum,49.064891,8.807859,1,,
de:08215:14604:0:1,Bretten Otto-Hahn-Str.,49.028589,8.713221,,de:08215:14604_Parent,1
de:08215:14604:0:2,Bretten Otto-Hahn-Str.,49.028489,8.713058,,de:08215:14604_Parent,2
de:08215:14604_Parent,Bretten Otto-Hahn-Str.,49.028539,8.713140,1,,
de:08215:14808:0:1,Bretten Hohberghaus,49.026616,8.704646,,de:08215:14808_Parent,1
de:08215:14808:0:2,Bretten Hohberghaus,49.025834,8.704623,,de:08215:14808_Parent,2
de:08215:14808_Parent,Bretten Hohberghaus,49.026225,8.704635,1,,
de:08215:14809:0:1,Bretten Tierpark,49.022908,8.702861,,de:08215:14809_Parent,1
de:08215:14809:0:2,Bretten Tierpark,49.022833,8.701107,,de:08215:14809_Parent,2
de:08215:14809_Parent,Bretten Tierpark,49.022871,8.701984,1,,
de:08215:14810:0:1,Sprantal,49.002671,8.682649,,de:08215:14810_Parent,1
de:08215:14810:0:2,Sprantal,49.002463,8.682556,,de:08215:14810_Parent,2
de:08215:14810_Parent,Sprantal,49.002567,8.682603,1,,
de:08215:1551:2:1,Bretten Bahnhof,49.037231,8.692774,,de:08215:1551_Parent,1
de:08215:1551:2:2,Bretten Bahnhof,49.037222,8.692647,,de:08215:1551_Parent,2
de:08215:1551_Parent,Bretten Bahnhof,49.037102,8.692956,1,,
de:08215:1554:2:11,Bretten Wannenweg,49.030313,8.708890,,de:08215:1554_Parent,11
de:08215:1554:2:12,Bretten Wannenweg,49.030028,8.709661,,de:08215:1554_Parent,12
de:08215:1554_Parent,Bretten Wannenweg,49.030272,8.709214,1,,
de:08215:1555:2:21,Bretten Schulzentrum,49.031458,8.717212,,de:08215:1555_Parent,11
de:08215:1555:2:22,Bretten Schulzentrum,49.031799,8.716800,,de:08215:1555_Parent,22
de:08215:1555_Parent,Bretten Schulzentrum,49.031862,8.716658,1,,
de:08215:1561:2:10,Oberderd.-Flehingen (Stadtbahn),49.083492,8.775694,,de:08215:1561_Parent,10
de:08215:1561_Parent,Oberderd.-Flehingen (Stadtbahn),49.083794,8.775354,1,,
de:08215:30895:0:1,Oberderdingen Sternenfelser Str.,49.061983,8.803209,,de:08215:30895_Parent,1
de:08215:30895:0:2,Oberderdingen Sternenfelser Str.,49.061903,8.803327,,de:08215:30895_Parent,2
de:08215:30895_Parent,Oberderdingen Sternenfelser Str.,49.061943,8.803268,1,,
de:08215:32336:0:1,Ruit (Baden) Rotenberger Hof,48.995374,8.723157,,de:08215:32336_Parent,1
de:08215:32336:0:2,Ruit (Baden) Rotenberger Hof,48.995108,8.723417,,de:08215:32336_Parent,2
de:08215:32336_Parent,Ruit (Baden) Rotenberger Hof,48.995241,8.723287,1,,
de:08215:32337:0:1,Ruit Abzw. Ruit,49.000933,8.717197,,de:08215:32337_Parent,1
de:08215:32337:0:2,Ruit Abzw. Ruit,49.000707,8.717234,,de:08215:32337_Parent,2
de:08215:32337_Parent,Ruit Abzw. Ruit,49.000820,8.717216,1,,
de:08215:34559:0:1,Ittersbach Pfinztalstraße,48.865197,8.505231,,de:08215:34559_Parent,1
de:08215:34559:0:2,Ittersbach Pfinztalstraße,48.865033,8.505043,,de:08215:34559_Parent,2
de:08215:34559_Parent,Ittersbach Pfinztalstraße,48.865115,8.505137,1,,
de:08215:34594:0:1,Ittersbach Belchenstraße,48.865240,8.506320,,de:08215:34594_Parent,1
de:08215:34594:0:2,Ittersbach Belchenstraße,48.865210,8.506350,,de:08215:34594_Parent,2
de:08215:34594_Parent,Ittersbach Belchenstraße,48.865225,8.506335,1,,
de:08215:34874:0:1,Ittersbach Oberer Wasen,48.862341,8.502283,,de:08215:34874_Parent,1
de:08215:34874:0:2,Ittersbach Oberer Wasen,48.862940,8.503192,,de:08215:34874_Parent,2
de:08215:34874_Parent,Ittersbach Oberer Wasen,48.862640,8.502737,1,,
de:08215:34875:1:1,Ittersbach Becker-Göring-Str.,48.877857,8.509965,,de:08215:34875_Parent,1
de:08215:34875:1:2,Ittersbach Becker-Göring-Str.,48.877885,8.509829,,de:08215:34875_Parent,2
de:08215:34875_Parent,Ittersbach Becker-Göring-Str.,48.877871,8.509897,1,,
de:08215:34878:0:1,Ittersbach Baumgartenstraße,48.868958,8.509333,,de:08215:34878_Parent,1
de:08215:34878:0:2,Ittersbach Baumgartenstraße,48.868828,8.509086,,de:08215:34878_Parent,2
de:08215:34878_Parent,Ittersbach Baumgartenstraße,48.868893,8.509210,1,,
de:08215:5490:1,Bretten Wilhelmstrasse,49.037419,8.699797,,de:08215:5490_Parent,1
de:08215:5490:2,Bretten Wilhelmstrasse,49.037119,8.699528,,de:08215:5490_Parent,2
de:08215:5490_Parent,Bretten Wilhelmstrasse,49.037269,8.699663,1,,
de:08215:8601:1:1,Langensteinbach Schwimmbad,48.905320,8.499089,,de:08215:8601_Parent,1
de:08215:8601:1:2,Langensteinbach Schwimmbad,48.905485,8.499167,,de:08215:8601_Parent,2
de:08215:8601_Parent,Langensteinbach Schwimmbad,48.905402,8.499128,1,,
de:08215:8602:1:1,Langensteinbach Volksbank,48.912923,8.505914,,de:08215:8602_Parent,1
